VendaID,ProdutoID,ValorVenda,DataVenda,LocalizacaoCliente,ClienteID,Nome,Idade,Localizacao,PreferenciaProduto
1,106,50.85,2024-01-23,Martins de Moraes,1,Gael Henrique Martins,45,Martins de Moraes,Eletrodomésticos
2,166,54.77,2024-01-01,Moraes da Serra,2,Felipe Mendonça,68,Moraes da Serra,Jogos
2,166,54.77,2024-01-01,Moraes da Serra,119,Isaque Campos,45,Moraes da Serra,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,3,Davi Lucca Aparecida,31,Peixoto,Roupas
3,138,39.72,2023-11-16,Peixoto,37,Srta. Maria Eduarda da Cruz,55,Peixoto,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,120,Rafaela Andrade,57,Peixoto,Eletrônicos
3,138,39.72,2023-11-16,Peixoto,482,Luan da Conceição,26,Peixoto,Jogos
3,138,39.72,2023-11-16,Peixoto,691,João Miguel Santos,21,Peixoto,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,855,Daniela Araújo,23,Peixoto,Eletrônicos
4,117,91.4,2024-04-07,Nascimento do Galho,4,Noah das Neves,34,Nascimento do Galho,Jogos
4,117,91.4,2024-04-07,Nascimento do Galho,674,Maysa Fernandes,45,Nascimento do Galho,Eletrodomésticos
5,189,83.37,2024-08-01,Pereira do Norte,5,Pietra Rios,24,Pereira do Norte,Livros
6,144,75.24,2023-12-07,Rocha de Guerra,6,Ravi da Luz,55,Rocha de Guerra,Jogos
7,193,51.59,2024-02-27,Andrade do Amparo,7,Isabel Câmara,60,Andrade do Amparo,Eletrodomésticos
8,193,78.4,2024-03-07,Camargo,8,Isaac Farias,59,Camargo,Roupas
8,193,78.4,2024-03-07,Camargo,85,Rafael Casa Grande,45,Camargo,Jogos
8,193,78.4,2024-03-07,Camargo,88,Evelyn Barbosa,44,Camargo,Eletrônicos
8,193,78.4,2024-03-07,Camargo,223,Ágatha Vasconcelos,63,Camargo,Livros
8,193,78.4,2024-03-07,Camargo,331,Sra. Juliana Fernandes,80,Camargo,Livros
9,143,74.75,2023-10-07,Almeida das Pedras,9,Vitor da Rocha,22,Almeida das Pedras,Eletrônicos
10,121,47.19,2024-05-21,Brito do Campo,10,Isabelly Câmara,19,Brito do Campo,Roupas
11,113,91.3,2023-10-27,Sá,11,Isabelly Farias,18,Sá,Livros
11,113,91.3,2023-10-27,Sá,58,Dom Albuquerque,78,Sá,Roupas
11,113,91.3,2023-10-27,Sá,422,Sr. Pedro Lucas da Luz,46,Sá,Roupas
11,113,91.3,2023-10-27,Sá,631,Dr. José Miguel da Costa,73,Sá,Livros
12,160,15.35,2024-08-22,Farias,12,Rodrigo Fonseca,41,Farias,Roupas
12,160,15.35,2024-08-22,Farias,162,Nicole Moura,49,Farias,Jogos
12,160,15.35,2024-08-22,Farias,321,Sra. Cecília Borges,35,Farias,Roupas
12,160,15.35,2024-08-22,Farias,357,Gabriel Freitas,32,Farias,Eletrodomésticos
12,160,15.35,2024-08-22,Farias,382,Maria Laura Lopes,71,Farias,Eletrodomésticos
12,160,15.35,2024-08-22,Farias,645,Maria Flor da Rosa,67,Farias,Eletrônicos
